model,unique_id,cutoff,n,scale,mae,wape,mase,pinball,coverage,mean_actual
AutoARIMA,FOODS_2_106_TX_3,2016-02-28,28,1.058091286307054,1.1995497113928675,0.9596397691142939,1.1336920801791415,0.38038578767749065,0.8214285714285714,1.25
AutoARIMA,FOODS_2_106_TX_3,2016-03-27,28,1.0745672436751,0.8592675126707613,0.6502564960751708,0.7996405229439179,0.27867695697673883,0.7857142857142857,1.3214285714285714
AutoARIMA,FOODS_2_106_TX_3,2016-04-24,28,1.0975609756097562,0.8213652212869803,1.0453739180016113,0.7483549793948042,0.23520024065041945,0.9285714285714286,0.7857142857142857
AutoARIMA,FOODS_2_106_TX_3,2016-05-22,28,1.0916976456009913,0.9087075180483032,0.9423633520500921,0.8323802123325548,0.2893222783232801,0.8928571428571429,0.9642857142857143
AutoARIMA,FOODS_2_107_CA_1,2016-02-28,28,1.309820193637621,0.8968414155790966,0.8100503108456356,0.6847057481137137,0.31869578830164436,0.9285714285714286,1.1071428571428572
AutoARIMA,FOODS_2_107_CA_1,2016-03-27,28,1.3142476697736352,0.7216105052706114,0.631409192111785,0.5490673652059059,0.2209131458130687,0.8928571428571429,1.1428571428571428
AutoARIMA,FOODS_2_107_CA_1,2016-04-24,28,1.3119383825417201,1.314372230915195,0.9684848017269858,1.0018551544842829,0.4187275257136955,0.8214285714285714,1.3571428571428572
AutoARIMA,FOODS_2_107_CA_1,2016-05-22,28,1.325898389095415,0.8177388613003719,1.3468640068476714,0.6167432346442993,0.23324053497411842,0.9642857142857143,0.6071428571428571
AutoARIMA,FOODS_2_113_WI_1,2016-02-28,28,0.8990318118948825,0.8014847450650313,0.9350655359092032,0.891497647203104,0.23223998250045305,0.8214285714285714,0.8571428571428571
AutoARIMA,FOODS_2_113_WI_1,2016-03-27,28,0.8988015978695073,0.9650155713777144,0.9317391723646898,1.0736691764513535,0.2637186082136715,0.8571428571428571,1.0357142857142858
AutoARIMA,FOODS_2_113_WI_1,2016-04-24,28,0.9075738125802311,1.0557937218112465,0.8958249760822699,1.163314440298389,0.32388497367971086,0.8571428571428571,1.1785714285714286
AutoARIMA,FOODS_2_113_WI_1,2016-05-22,28,0.9306071871127634,0.9246560484396494,1.2945184678155093,0.9936051013193037,0.2806731520041783,0.9285714285714286,0.7142857142857143
AutoARIMA,FOODS_2_117_TX_3,2016-02-28,28,0.16597510373443983,1.176679992364218,0.867027362794687,7.089496953994414,0.39937813073351786,0.4642857142857143,1.3571428571428572
AutoARIMA,FOODS_2_117_TX_3,2016-03-27,28,0.21304926764314247,1.208334986657642,0.7518528805869773,5.671622343624308,0.4261913159099563,0.32142857142857145,1.6071428571428572
AutoARIMA,FOODS_2_117_TX_3,2016-04-24,28,0.2605905006418485,1.386462323947377,0.6065772667269774,5.32046379485225,0.4901142498125064,0.39285714285714285,2.2857142857142856
AutoARIMA,FOODS_2_117_TX_3,2016-05-22,28,0.29739776951672864,1.6745768569780275,0.7686582294325371,5.630764681588617,0.6136784238299148,0.2857142857142857,2.1785714285714284
AutoARIMA,FOODS_2_125_WI_2,2016-02-28,28,1.4813278008298756,1.6272711871665233,1.0355362100150602,1.0985220059023308,0.536233052230255,0.8571428571428571,1.5714285714285714
AutoARIMA,FOODS_2_125_WI_2,2016-03-27,28,1.4886817576564582,1.1407290752051122,0.6518451858314928,0.7662679208220387,0.32602077298966076,0.8928571428571429,1.75
AutoARIMA,FOODS_2_125_WI_2,2016-04-24,28,1.5044929396662388,1.5371574483417896,0.7294984500605103,1.0217113073875888,0.49411054291178963,0.7857142857142857,2.107142857142857
AutoARIMA,FOODS_2_125_WI_2,2016-05-22,28,1.520446096654275,1.1981217455409656,0.713774656918022,0.7880067226174078,0.36825901190515564,0.8571428571428571,1.6785714285714286
